X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   50.5000,    0.0000,  -19.1250,   38.2500, 22.042505,    35, 10000,    18,     1,
   25.0000,    0.0000,   -1.1250,    2.2500, 12.094028,    36, 10000,    35,    34,
   26.5000,    0.0000,   -2.2500,    4.5000,  9.175787,    36, 10000,    34,    32,
   28.0000,    0.0000,   -3.3750,    6.7500,  6.469101,    36, 10000,    33,    30,
   29.5000,    0.0000,   -4.5000,    9.0000, 11.438569,    36, 10000,    32,    28,
   31.0000,    0.0000,   -5.6250,   11.2500, 13.399819,    36, 10000,    31,    26,
   34.0000,    0.0000,   -7.8750,   15.7500,  9.597925,    36, 10000,    29,    22,
   35.5000,    0.0000,   -9.0000,   18.0000, 10.043541,    36, 10000,    28,    20,
   38.5000,    0.0000,  -11.2500,   22.5000, 12.419725,    36, 10000,    26,    16,
   43.0000,    0.0000,  -14.6250,   29.2500, 19.676001,    36, 10000,    23,    10,
   44.5000,    0.0000,  -15.7500,   31.5000, 18.932890,    36, 10000,    22,     8,
   46.0000,    0.0000,  -16.8750,   33.7500, 19.060732,    36, 10000,    21,     6,
   47.5000,    0.0000,  -18.0000,   36.0000, 22.918585,    36, 10000,    20,     4,
   49.0000,    0.0000,  -19.1250,   38.2500, 22.178804,    36, 10000,    19,     2,
   23.5000,    0.0000,   -1.1250,    2.2500, 33.940037,    37, 10000,    36,    35,
   25.0000,    0.0000,   -2.2500,    4.5000, 13.188720,    37, 10000,    35,    33,
   26.5000,    0.0000,   -3.3750,    6.7500,  9.390864,    37, 10000,    34,    31,
   28.0000,    0.0000,   -4.5000,    9.0000,  7.634088,    37, 10000,    33,    29,
   32.5000,    0.0000,   -7.8750,   15.7500,  8.651068,    37, 10000,    30,    23,
   34.0000,    0.0000,   -9.0000,   18.0000, 10.071614,    37, 10000,    29,    21,
   35.5000,    0.0000,  -10.1250,   20.2500, 10.629821,    37, 10000,    28,    19,
   38.5000,    0.0000,  -12.3750,   24.7500, 12.017573,    37, 10000,    26,    15,
   43.0000,    0.0000,  -15.7500,   31.5000, 19.557047,    37, 10000,    23,     9,
   44.5000,    0.0000,  -16.8750,   33.7500, 18.638485,    37, 10000,    22,     7,
   46.0000,    0.0000,  -18.0000,   36.0000, 18.904671,    37, 10000,    21,     5,
   47.5000,    0.0000,  -19.1250,   38.2500, 21.929630,    37, 10000,    20,     3,
   49.0000,    0.0000,  -20.2500,   40.5000, 21.294977,    37, 10000,    19,     1,
   22.0000,    0.0000,   -1.1250,    2.2500, 69.619553,    38, 10000,    37,    36,
   23.5000,    0.0000,   -2.2500,    4.5000, 29.291903,    38, 10000,    36,    34,
   25.0000,    0.0000,   -3.3750,    6.7500, 13.829867,    38, 10000,    35,    32,
   26.5000,    0.0000,   -4.5000,    9.0000, 13.251842,    38, 10000,    34,    30,
   28.0000,    0.0000,   -5.6250,   11.2500,  8.761225,    38, 10000,    33,    28,
   29.5000,    0.0000,   -6.7500,   13.5000, 12.447615,    38, 10000,    32,    26,
   32.5000,    0.0000,   -9.0000,   18.0000, 10.881076,    38, 10000,    30,    22,
   34.0000,    0.0000,  -10.1250,   20.2500,  9.583048,    38, 10000,    29,    20,
   35.5000,    0.0000,  -11.2500,   22.5000, 12.337643,    38, 10000,    28,    18,
   38.5000,    0.0000,  -13.5000,   27.0000, 13.186063,    38, 10000,    26,    14,
   43.0000,    0.0000,  -16.8750,   33.7500, 20.360342,    38, 10000,    23,     8,
   44.5000,    0.0000,  -18.0000,   36.0000, 18.946659,    38, 10000,    22,     6,
   46.0000,    0.0000,  -19.1250,   38.2500, 18.839735,    38, 10000,    21,     4,
   47.5000,    0.0000,  -20.2500,   40.5000, 21.681412,    38, 10000,    20,     2,
   20.5000,    0.0000,   -1.1250,    2.2500, 15.531117,    39, 10000,    38,    37,
   22.0000,    0.0000,   -2.2500,    4.5000, 40.261234,    39, 10000,    37,    35,
   23.5000,    0.0000,   -3.3750,    6.7500, 21.782215,    39, 10000,    36,    33,
   25.0000,    0.0000,   -4.5000,    9.0000, 12.832674,    39, 10000,    35,    31,
   26.5000,    0.0000,   -5.6250,   11.2500, 14.592588,    39, 10000,    34,    29,
   31.0000,    0.0000,   -9.0000,   18.0000, 13.059123,    39, 10000,    31,    23,
   32.5000,    0.0000,  -10.1250,   20.2500, 11.752075,    39, 10000,    30,    21,
   34.0000,    0.0000,  -11.2500,   22.5000, 10.577353,    39, 10000,    29,    19,
   35.5000,    0.0000,  -12.3750,   24.7500, 12.528299,    39, 10000,    28,    17,
   38.5000,    0.0000,  -14.6250,   29.2500, 15.696695,    39, 10000,    26,    13,
   43.0000,    0.0000,  -18.0000,   36.0000, 21.631104,    39, 10000,    23,     7,
   44.5000,    0.0000,  -19.1250,   38.2500, 20.211479,    39, 10000,    22,     5,
   46.0000,    0.0000,  -20.2500,   40.5000, 19.698608,    39, 10000,    21,     3,
   47.5000,    0.0000,  -21.3750,   42.7500, 22.796900,    39, 10000,    20,     1,
   19.0000,    0.0000,   -1.1250,    2.2500, 10.509564,    40, 10000,    39,    38,
   20.5000,    0.0000,   -2.2500,    4.5000,  7.386700,    40, 10000,    38,    36,
   22.0000,    0.0000,   -3.3750,    6.7500, 12.448247,    40, 10000,    37,    34,
   23.5000,    0.0000,   -4.5000,    9.0000, 13.227786,    40, 10000,    36,    32,
   25.0000,    0.0000,   -5.6250,   11.2500, 13.383108,    40, 10000,    35,    30,
   26.5000,    0.0000,   -6.7500,   13.5000, 13.516114,    40, 10000,    34,    28,
   28.0000,    0.0000,   -7.8750,   15.7500,  9.044831,    40, 10000,    33,    26,
   31.0000,    0.0000,  -10.1250,   20.2500, 13.801253,    40, 10000,    31,    22,
   32.5000,    0.0000,  -11.2500,   22.5000,  9.868881,    40, 10000,    30,    20,
   34.0000,    0.0000,  -12.3750,   24.7500, 10.975511,    40, 10000,    29,    18,
   35.5000,    0.0000,  -13.5000,   27.0000, 11.854402,    40, 10000,    28,    16,
   38.5000,    0.0000,  -15.7500,   31.5000, 13.751152,    40, 10000,    26,    12,
   43.0000,    0.0000,  -19.1250,   38.2500, 21.528677,    40, 10000,    23,     6,
   44.5000,    0.0000,  -20.2500,   40.5000, 19.936388,    40, 10000,    22,     4,
   46.0000,    0.0000,  -21.3750,   42.7500, 19.579302,    40, 10000,    21,     2,
   17.5000,    0.0000,   -1.1250,    2.2500, 22.481197,    41, 10000,    40,    39,
   19.0000,    0.0000,   -2.2500,    4.5000,  7.747246,    41, 10000,    39,    37,
   20.5000,    0.0000,   -3.3750,    6.7500,  7.639518,    41, 10000,    38,    35,
   22.0000,    0.0000,   -4.5000,    9.0000, 13.790676,    41, 10000,    37,    33,
   23.5000,    0.0000,   -5.6250,   11.2500, 12.818871,    41, 10000,    36,    31,
   25.0000,    0.0000,   -6.7500,   13.5000, 13.957603,    41, 10000,    35,    29,
   29.5000,    0.0000,  -10.1250,   20.2500, 10.859128,    41, 10000,    32,    23,
   31.0000,    0.0000,  -11.2500,   22.5000, 14.198195,    41, 10000,    31,    21,
   32.5000,    0.0000,  -12.3750,   24.7500, 10.475462,    41, 10000,    30,    19,
   34.0000,    0.0000,  -13.5000,   27.0000, 11.045106,    41, 10000,    29,    17,
   35.5000,    0.0000,  -14.6250,   29.2500, 12.421193,    41, 10000,    28,    15,
   38.5000,    0.0000,  -16.8750,   33.7500, 14.685922,    41, 10000,    26,    11,
   43.0000,    0.0000,  -20.2500,   40.5000, 22.111828,    41, 10000,    23,     5,
   44.5000,    0.0000,  -21.3750,   42.7500, 20.553539,    41, 10000,    22,     3,
   46.0000,    0.0000,  -22.5000,   45.0000, 20.231611,    41, 10000,    21,     1,
   16.0000,    0.0000,   -1.1250,    2.2500, 67.784401,    42, 10000,    41,    40,
   17.5000,    0.0000,   -2.2500,    4.5000, 12.570727,    42, 10000,    40,    38,
   19.0000,    0.0000,   -3.3750,    6.7500,  8.134409,    42, 10000,    39,    36,
   20.5000,    0.0000,   -4.5000,    9.0000,  8.670606,    42, 10000,    38,    34,
   22.0000,    0.0000,   -5.6250,   11.2500, 13.002470,    42, 10000,    37,    32,
   23.5000,    0.0000,   -6.7500,   13.5000, 14.344045,    42, 10000,    36,    30,
   25.0000,    0.0000,   -7.8750,   15.7500, 14.457041,    42, 10000,    35,    28,
