X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   47.5000,    0.0000,  -13.5000,   27.0000, 21.250866,    32, 10000,    20,     8,
   49.0000,    0.0000,  -14.6250,   29.2500, 20.824348,    32, 10000,    19,     6,
   50.5000,    0.0000,  -15.7500,   31.5000, 22.434561,    32, 10000,    18,     4,
   52.0000,    0.0000,  -16.8750,   33.7500, 19.741072,    32, 10000,    17,     2,
   29.5000,    0.0000,   -1.1250,    2.2500, 36.865856,    33, 10000,    32,    31,
   31.0000,    0.0000,   -2.2500,    4.5000, 22.047787,    33, 10000,    31,    29,
   32.5000,    0.0000,   -3.3750,    6.7500, 13.482053,    33, 10000,    30,    27,
   34.0000,    0.0000,   -4.5000,    9.0000,  8.093463,    33, 10000,    29,    25,
   35.5000,    0.0000,   -5.6250,   11.2500,  7.950898,    33, 10000,    28,    23,
   37.0000,    0.0000,   -6.7500,   13.5000, 15.636292,    33, 10000,    27,    21,
   38.5000,    0.0000,   -7.8750,   15.7500, 14.394254,    33, 10000,    26,    19,
   40.0000,    0.0000,   -9.0000,   18.0000, 19.629728,    33, 10000,    25,    17,
   41.5000,    0.0000,  -10.1250,   20.2500, 22.422913,    33, 10000,    24,    15,
   43.0000,    0.0000,  -11.2500,   22.5000, 22.976725,    33, 10000,    23,    13,
   44.5000,    0.0000,  -12.3750,   24.7500, 21.040649,    33, 10000,    22,    11,
   46.0000,    0.0000,  -13.5000,   27.0000, 19.723131,    33, 10000,    21,     9,
   47.5000,    0.0000,  -14.6250,   29.2500, 22.937618,    33, 10000,    20,     7,
   49.0000,    0.0000,  -15.7500,   31.5000, 22.595919,    33, 10000,    19,     5,
   50.5000,    0.0000,  -16.8750,   33.7500, 24.394564,    33, 10000,    18,     3,
   52.0000,    0.0000,  -18.0000,   36.0000, 20.972673,    33, 10000,    17,     1,
   28.0000,    0.0000,   -1.1250,    2.2500, 17.219734,    34, 10000,    33,    32,
   29.5000,    0.0000,   -2.2500,    4.5000, 14.914408,    34, 10000,    32,    30,
   31.0000,    0.0000,   -3.3750,    6.7500, 15.159342,    34, 10000,    31,    28,
   32.5000,    0.0000,   -4.5000,    9.0000, 12.864425,    34, 10000,    30,    26,
   34.0000,    0.0000,   -5.6250,   11.2500,  6.840438,    34, 10000,    29,    24,
   35.5000,    0.0000,   -6.7500,   13.5000, 10.060959,    34, 10000,    28,    22,
   37.0000,    0.0000,   -7.8750,   15.7500, 15.553686,    34, 10000,    27,    20,
   38.5000,    0.0000,   -9.0000,   18.0000, 14.620492,    34, 10000,    26,    18,
   40.0000,    0.0000,  -10.1250,   20.2500, 19.206327,    34, 10000,    25,    16,
   41.5000,    0.0000,  -11.2500,   22.5000, 24.139889,    34, 10000,    24,    14,
   43.0000,    0.0000,  -12.3750,   24.7500, 23.871378,    34, 10000,    23,    12,
   44.5000,    0.0000,  -13.5000,   27.0000, 21.290554,    34, 10000,    22,    10,
   46.0000,    0.0000,  -14.6250,   29.2500, 20.566017,    34, 10000,    21,     8,
   47.5000,    0.0000,  -15.7500,   31.5000, 23.338362,    34, 10000,    20,     6,
   49.0000,    0.0000,  -16.8750,   33.7500, 23.103991,    34, 10000,    19,     4,
   50.5000,    0.0000,  -18.0000,   36.0000, 24.786699,    34, 10000,    18,     2,
   26.5000,    0.0000,   -1.1250,    2.2500, 15.036532,    35, 10000,    34,    33,
   28.0000,    0.0000,   -2.2500,    4.5000, 10.727461,    35, 10000,    33,    31,
   29.5000,    0.0000,   -3.3750,    6.7500, 14.327491,    35, 10000,    32,    29,
   31.0000,    0.0000,   -4.5000,    9.0000, 12.481212,    35, 10000,    31,    27,
   32.5000,    0.0000,   -5.6250,   11.2500, 12.052356,    35, 10000,    30,    25,
   34.0000,    0.0000,   -6.7500,   13.5000,  8.217979,    35, 10000,    29,    23,
